evaluation_slice,error_type,class_id,support,predicted_count,correct,precision,recall,f1
val,addition,0,81,220,32,0.14545454545454545,0.3950617283950617,0.21262458471760798
val,deletion,1,296,458,253,0.5524017467248908,0.8547297297297297,0.6710875331564987
val,substitution,2,962,661,618,0.9349470499243571,0.6424116424116424,0.7615526802218114
val_vietnamese,addition,0,30,71,8,0.11267605633802817,0.26666666666666666,0.15841584158415842
val_vietnamese,deletion,1,177,219,150,0.684931506849315,0.847457627118644,0.7575757575757576
val_vietnamese,substitution,2,304,221,194,0.8778280542986425,0.6381578947368421,0.7390476190476191
test,addition,0,58,154,18,0.11688311688311688,0.3103448275862069,0.16981132075471697
test,deletion,1,218,325,161,0.49538461538461537,0.7385321100917431,0.5930018416206262
test,substitution,2,721,518,466,0.8996138996138996,0.6463245492371706,0.7522195318805488
test_vietnamese,addition,0,19,46,9,0.1956521739130435,0.47368421052631576,0.27692307692307694
test_vietnamese,deletion,1,115,146,87,0.5958904109589042,0.7565217391304347,0.6666666666666666
test_vietnamese,substitution,2,199,141,116,0.8226950354609929,0.5829145728643216,0.6823529411764706
