split,l1,total_samples,accuracy,macro_f1,weighted_f1,addition_f1,deletion_f1,substitution_f1
val,Arabic,269,0.6059479553903345,0.49617589200922535,0.6595063342275238,0.2857142857142857,0.4791666666666667,0.7236467236467237
val,Chinese,268,0.6791044776119403,0.5215277654891182,0.7166506723342112,0.11538461538461539,0.6790123456790124,0.7701863354037267
val,Hindi,109,0.6605504587155964,0.5225396825396825,0.7133595456531235,0.2857142857142857,0.52,0.7619047619047619
val,Korean,109,0.7614678899082569,0.5362745098039216,0.8058553696708041,0.25,0.5,0.8588235294117647
val,Spanish,73,0.6986301369863014,0.5197530864197532,0.7491121258244545,0.3,0.4444444444444444,0.8148148148148148
val,Vietnamese,511,0.6888454011741683,0.5516797394025117,0.7113774178647947,0.15841584158415842,0.7575757575757576,0.7390476190476191
test,Arabic,241,0.5892116182572614,0.4183968769625916,0.6523223946318104,0.16393442622950818,0.35051546391752575,0.7407407407407407
test,Chinese,250,0.652,0.503867205239131,0.692689825282631,0.1,0.6474820143884892,0.7641196013289037
test,Hindi,25,0.72,0.46398046398046394,0.8005860805860806,0.0,0.5714285714285714,0.8205128205128205
test,Korean,63,0.8095238095238095,0.5075560187597707,0.8481103749472692,0.0,0.631578947368421,0.8910891089108911
test,Spanish,85,0.6941176470588235,0.44365671641791044,0.7548200175592624,0.125,0.4,0.8059701492537313
test,Vietnamese,333,0.6366366366366366,0.5419808949220714,0.6538031243913597,0.27692307692307694,0.6666666666666666,0.6823529411764706
