metric,baseline,v2,delta,improved
val_accuracy,0.7571008814887366,0.6660137120470128,-0.09108716944172379,False
val_macro_f1,0.5104166666666666,0.5369304333445035,0.026513766677836892,True
test_accuracy,0.6966463414634146,0.614329268292683,-0.08231707317073167,False
test_macro_f1,0.465736103290559,0.4835345641018409,0.017798460811281946,True
val_addition_f1,0.0,0.17647058823529413,0.17647058823529413,True
test_addition_f1,0.0,0.12403100775193797,0.12403100775193797,True
val_deletion_f1,0.71875,0.7040229885057471,-0.014727011494252928,False
test_deletion_f1,0.6341463414634145,0.6444444444444444,0.010298102981029844,True
val_substitution_f1,0.8124999999999999,0.7302977232924693,-0.08220227670753055,False
test_substitution_f1,0.7630619684082625,0.6821282401091405,-0.08093372829912193,False
