held_out_speaker,actual_error_type,predicted_error_type,rows
HQTV,addition,addition,9
HQTV,addition,deletion,18
HQTV,addition,substitution,45
HQTV,deletion,addition,51
HQTV,substitution,addition,93
PNV,addition,addition,3
PNV,addition,deletion,7
PNV,addition,substitution,6
PNV,deletion,addition,20
PNV,substitution,addition,102
THV,addition,addition,25
THV,addition,deletion,17
THV,addition,substitution,25
THV,deletion,addition,44
THV,substitution,addition,196
TLV,addition,addition,9
TLV,addition,deletion,8
TLV,addition,substitution,26
TLV,deletion,addition,45
TLV,substitution,addition,130
