held_out_speaker,error_type,class_id,support,predicted_count,correct,precision,recall,f1
HQTV,addition,0,72,512,35,0.068359375,0.4861111111111111,0.11986301369863013
HQTV,deletion,1,477,360,263,0.7305555555555555,0.5513626834381551,0.6284348864994026
HQTV,substitution,2,809,486,432,0.8888888888888888,0.5339925834363412,0.6671814671814672
PNV,addition,0,16,290,7,0.02413793103448276,0.4375,0.0457516339869281
PNV,deletion,1,246,250,151,0.604,0.6138211382113821,0.6088709677419355
PNV,substitution,2,631,353,321,0.9093484419263456,0.508716323296355,0.6524390243902439
THV,addition,0,67,317,26,0.08201892744479496,0.3880597014925373,0.13541666666666666
THV,deletion,1,406,420,277,0.6595238095238095,0.6822660098522167,0.6707021791767555
THV,substitution,2,926,662,594,0.8972809667673716,0.6414686825053996,0.7481108312342569
TLV,addition,0,43,370,17,0.04594594594594595,0.3953488372093023,0.08232445520581114
TLV,deletion,1,437,403,265,0.6575682382133995,0.6064073226544623,0.6309523809523809
TLV,substitution,2,789,496,429,0.8649193548387096,0.5437262357414449,0.667704280155642
