held_out_speaker,error_type,class_id,support,predicted_count,correct,precision,recall,f1
HQTV,addition,0,72,153,9,0.058823529411764705,0.125,0.08
HQTV,deletion,1,477,548,367,0.6697080291970803,0.7693920335429769,0.7160975609756097
HQTV,substitution,2,809,657,553,0.8417047184170472,0.6835599505562423,0.7544338335607094
PNV,addition,0,16,125,3,0.024,0.1875,0.0425531914893617
PNV,deletion,1,246,294,175,0.5952380952380952,0.7113821138211383,0.6481481481481481
PNV,substitution,2,631,474,417,0.879746835443038,0.6608557844690967,0.7547511312217194
THV,addition,0,67,265,25,0.09433962264150944,0.373134328358209,0.15060240963855423
THV,deletion,1,406,501,321,0.6407185628742516,0.7906403940886699,0.7078280044101434
THV,substitution,2,926,633,567,0.8957345971563981,0.6123110151187905,0.7273893521488134
TLV,addition,0,43,184,9,0.04891304347826087,0.20930232558139536,0.07929515418502203
TLV,deletion,1,437,548,335,0.6113138686131386,0.7665903890160183,0.6802030456852792
TLV,substitution,2,789,537,454,0.845437616387337,0.5754119138149556,0.6847662141779789
