seed,held_out_speaker,context_mode,train_rows,validation_rows,test_rows,best_epoch,best_val_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,test_addition_f1,test_deletion_f1,test_substitution_f1
42,HQTV,context_0_10,15151,1195,1358,3,0.566036586821533,0.6848306332842415,0.5489435453039379,0.7111891433233491,0.17293233082706766,0.72,0.7538983050847458
42,PNV,context_0_10,15536,1246,893,10,0.5659633451093133,0.6786114221724524,0.49918102667716574,0.7189915571280092,0.09090909090909091,0.6415094339622641,0.7651245551601423
42,THV,context_0_10,15103,1201,1399,9,0.5582174943556018,0.6626161543959972,0.5229105661069103,0.7086501298395856,0.12612612612612611,0.6786570743405276,0.7639484978540773
42,TLV,context_0_10,15231,1203,1269,12,0.5562091140244144,0.6083530338849488,0.48411728949673877,0.6616177606241526,0.08917197452229299,0.6812227074235808,0.6819571865443425
123,HQTV,context_0_10,15151,1195,1358,11,0.5705396246733924,0.7157584683357879,0.5766832514414565,0.7320374184470159,0.22018348623853212,0.732615083251714,0.7772511848341233
123,PNV,context_0_10,15536,1246,893,9,0.568803336562654,0.6215005599104143,0.4640087760864926,0.6805234583061349,0.06349206349206349,0.601593625498008,0.7269406392694064
123,THV,context_0_10,15103,1201,1399,9,0.5609744469277126,0.688348820586133,0.5310182866990482,0.7204471547615993,0.12307692307692308,0.6952695269526953,0.7747084100675261
123,TLV,context_0_10,15231,1203,1269,11,0.5652792511219622,0.6335697399527187,0.5054840343927588,0.6804456769760826,0.11764705882352941,0.6966773847802786,0.7021276595744681
2026,HQTV,context_0_10,15151,1195,1358,10,0.5732131552888461,0.7010309278350515,0.5694222056411498,0.726041401843384,0.20454545454545456,0.7387755102040816,0.7649456521739131
2026,PNV,context_0_10,15536,1246,893,9,0.5596151130202708,0.6349384098544233,0.477326818795921,0.6824868316444418,0.07741935483870968,0.6402753872633391,0.7142857142857143
2026,THV,context_0_10,15103,1201,1399,6,0.5589236719612255,0.6726233023588277,0.5212630315455627,0.7175826082032775,0.10725552050473186,0.6769964243146603,0.7795371498172959
2026,TLV,context_0_10,15231,1203,1269,8,0.561854861168731,0.6398739164696612,0.503408114322666,0.6867531305482633,0.10830324909747292,0.6797814207650273,0.7221396731054978
