crop_mode,split,class,precision,recall,f1,support
original_segment,validation,addition,0.09482758620689655,0.36666666666666664,0.1506849315068493,30
original_segment,validation,deletion,0.4819277108433735,0.6779661016949152,0.5633802816901409,177
original_segment,validation,substitution,0.773972602739726,0.3717105263157895,0.5022222222222222,304
original_segment,test,addition,0.05405405405405406,0.21052631578947367,0.08602150537634409,19
original_segment,test,deletion,0.49032258064516127,0.6608695652173913,0.562962962962963,115
original_segment,test,substitution,0.7019230769230769,0.36683417085427134,0.48184818481848185,199
context_0_10,validation,addition,0.07216494845360824,0.23333333333333334,0.11023622047244094,30
context_0_10,validation,deletion,0.5069444444444444,0.4124293785310734,0.45482866043613707,177
context_0_10,validation,substitution,0.7,0.6217105263157895,0.6585365853658537,304
context_0_10,test,addition,0.07142857142857142,0.2631578947368421,0.11235955056179775,19
context_0_10,test,deletion,0.4942528735632184,0.3739130434782609,0.42574257425742573,115
context_0_10,test,substitution,0.6420454545454546,0.5678391959798995,0.6026666666666667,199
context_0_15,validation,addition,0.058823529411764705,0.2,0.09090909090909091,30
context_0_15,validation,deletion,0.4406779661016949,0.2937853107344633,0.3525423728813559,177
context_0_15,validation,substitution,0.6288659793814433,0.6019736842105263,0.6151260504201681,304
context_0_15,test,addition,0.0784313725490196,0.21052631578947367,0.11428571428571428,19
context_0_15,test,deletion,0.4666666666666667,0.30434782608695654,0.3684210526315789,115
context_0_15,test,substitution,0.6521739130434783,0.678391959798995,0.6650246305418719,199
