epoch,train_loss,validation_loss,accuracy,macro_f1,balanced_accuracy,incorrect_precision,incorrect_recall,incorrect_f1,substitution_recall,deletion_recall,tn,fp,fn,tp,epoch_seconds
1,0.6732087508519341,0.684982629723715,0.8495649544797931,0.4593323161871549,0.49972335296209935,0.0,0.0,0.0,0.0,0.0,25289,14,4464,0,36.91336320000005
2,0.6661541412717619,0.7103570408626796,0.7205294453589546,0.4841563375571547,0.4836913481365704,0.12594605084416843,0.1453853046594982,0.13496932515337423,0.1400286944045911,0.1644535240040858,20799,4504,3815,649,37.140794899999946
3,0.6611424492559399,0.6940622780806561,0.7448180871434811,0.5026609898039558,0.5026827715471992,0.15445719329214475,0.15681003584229392,0.15562472209871053,0.15294117647058825,0.17058222676200205,21471,3832,3764,700,36.82893009999998
4,0.6543028467346501,0.6976980195117717,0.8024658178519838,0.4949807369572391,0.5024605278646461,0.15895953757225434,0.0739247311827957,0.10091743119266056,0.0751793400286944,0.06945863125638406,23557,1746,4134,330,36.84197029999996
5,0.6478712319775456,0.6914581854650899,0.7843921120704136,0.5131261084498494,0.5135073438598027,0.1832036316472114,0.12656810035842295,0.14970853206147325,0.12568149210903873,0.12972420837589377,22784,2519,3899,565,36.905049799999915
6,0.6436166725364885,0.6895615406306618,0.7864413612389559,0.5171519563050082,0.5170189011687311,0.19199479336153596,0.13216845878136202,0.15656096590155233,0.12711621233859396,0.1501532175689479,22820,2483,3874,590,36.98512630000005
7,0.6393968807532758,0.6813466368726109,0.752242416098364,0.5220521820971408,0.5224550358260038,0.1866523143164693,0.19422043010752688,0.19036118124931387,0.1902439024390244,0.2083758937691522,21525,3778,3597,867,36.679939000000104
8,0.6360968800530139,0.6946435042570888,0.7899015688514126,0.5110870572058983,0.5123202263477052,0.18307365439093484,0.11581541218637993,0.14187705817782656,0.12022955523672883,0.10010214504596528,22996,2307,3947,517,37.1875163000002
9,0.6321790071692948,0.6830936794670748,0.8125440924513724,0.5177708417237213,0.520104005227255,0.22512315270935962,0.10237455197132617,0.14074530335694488,0.10903873744619799,0.07865168539325842,23730,1573,4007,457,36.90871849999985
10,0.6295982295251922,0.6805856288026049,0.7084019215910237,0.5360480328236457,0.5524768125728359,0.20558659217877095,0.32974910394265233,0.25326909841706813,0.31305595408895265,0.3891726251276813,19615,5688,2992,1472,36.294174599999906
11,0.6264943621348784,0.6745047316635469,0.7646386938556119,0.5422936865343558,0.5426611945301795,0.221027216856892,0.22558243727598568,0.22328159645232815,0.22496413199426113,0.22778345250255363,21754,3549,3457,1007,37.930785700000115
12,0.6233400254531167,0.6781531739039492,0.7761615211475795,0.5350434832492703,0.5334803737837198,0.2156710628394104,0.1868279569892473,0.20021606049693913,0.18220946915351507,0.20326864147088866,22270,3033,3630,834,38.75881320000008
