epoch,train_loss,validation_loss,accuracy,macro_f1,balanced_accuracy,incorrect_precision,incorrect_recall,incorrect_f1,substitution_recall,deletion_recall,tn,fp,fn,tp,epoch_seconds
1,0.6386526212409386,0.6297137034000634,0.8247723989652972,0.6005947506959979,0.5889176009347356,0.3747501665556296,0.25201612903225806,0.3013661934101259,0.30272596843615496,0.07150153217568948,23426,1877,3339,1125,37.91476640000019
2,0.604285476236629,0.6381009777716707,0.7522760103470286,0.5928433900102903,0.616197408732329,0.28205512282804074,0.4218189964157706,0.33806104129263914,0.44648493543758966,0.33401430030643514,20510,4793,2581,1883,37.32480209999994
3,0.5897854699847088,0.6086319899676761,0.7896328148620956,0.6235105738453164,0.636602894424946,0.33743218806509945,0.41801075268817206,0.3734240544326596,0.4418938307030129,0.33299284984678246,21639,3664,2598,1866,65.83156439999993
4,0.5795210171894879,0.6125877957563195,0.7998790607048073,0.6200723913262092,0.6241805146003201,0.34528497409326425,0.3732078853046595,0.35870384325546345,0.40573888091822097,0.2574055158324821,22144,3159,2798,1666,70.69904039999983
5,0.5738433484168896,0.6121237922428429,0.8056572714751234,0.621890182018249,0.6228747411126254,0.35486706218413533,0.3617831541218638,0.35829173599556297,0.39110473457675754,0.2574055158324821,22367,2936,2849,1615,57.30370570000014
6,0.5712452642281924,0.6050024723551714,0.7926227029932476,0.6277603818046582,0.6407599924754273,0.3444383761150555,0.42383512544802865,0.38003414683137493,0.44017216642754664,0.36567926455566907,21702,3601,2572,1892,62.18102450000015
7,0.5660736767914956,0.6018009008040341,0.7846944603083952,0.6320665378221567,0.6546380936526007,0.34137987277768717,0.46886200716845877,0.3950920245398773,0.4794835007173601,0.4310520939734423,21265,4038,2371,2093,77.48900460000004
8,0.5643695006539117,0.6176334505406843,0.8189269996976518,0.6235351921149669,0.6169353864849777,0.3799896319336444,0.32840501792114696,0.3523191540495073,0.35724533715925394,0.2257405515832482,22911,2392,2998,1466,69.57583869999962
9,0.5618937355979906,0.6000048782454069,0.8141902106359391,0.6329847825199695,0.632045008759073,0.3783906997948484,0.3718637992831541,0.3750988588860016,0.39483500717360115,0.2900919305413687,22576,2727,2804,1660,66.91302890000043
10,0.5579554297933967,0.6004315270452307,0.7690395404306782,0.6266746651873617,0.6603736592428087,0.32581996821268605,0.505152329749104,0.3961352657004831,0.5176470588235295,0.4606741573033708,20637,4666,2209,2255,64.03305269999964
11,0.5576567659186427,0.5965837157661267,0.7941008499344913,0.6351956216550427,0.6512231078327091,0.35283719285840554,0.44713261648745517,0.394427428119751,0.4619799139167862,0.39427987742594484,21642,3661,2468,1996,60.3259822
12,0.5558097535072817,0.594858599955784,0.8034736453119226,0.6411277763953516,0.6523084481319383,0.3687996970844377,0.43637992831541217,0.3997537451262056,0.44619799139167865,0.4014300306435138,21969,3334,2516,1948,63.80889890000071
