actual\predicted,AA,AE,AH,AO,AW,AX,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
AA,238,44,17,21,45,0,14,0,0,0,0,7,8,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,3,0,0,1,0,3,0,0,0,0,0,0
AE,51,428,38,0,13,0,28,0,0,1,0,121,21,13,0,0,6,12,1,0,2,0,0,1,0,0,0,2,9,0,0,0,0,6,1,0,0,0,0,0
AH,358,203,705,78,49,4,37,2,1,8,3,155,172,14,1,2,13,231,30,0,2,64,12,21,3,79,6,4,57,7,0,6,3,199,93,9,27,16,4,0
AO,119,2,21,242,39,0,3,1,0,0,0,4,12,1,0,3,1,1,0,0,0,12,0,1,0,89,3,0,7,0,0,2,0,25,10,2,11,0,0,0
AW,28,5,1,5,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,0,1,0,0,0,0,0,2,0,0,0,0,0,0
AX,4,7,17,0,4,0,3,0,0,0,0,3,10,0,0,0,0,0,0,0,0,6,0,0,0,4,1,0,3,0,0,1,0,6,4,0,0,0,0,0
AY,24,30,5,1,12,0,393,0,0,0,0,14,28,24,0,0,2,7,0,0,1,0,0,2,0,0,7,0,4,0,0,1,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,268,0,8,19,0,0,0,5,9,3,0,0,0,4,7,20,1,1,0,0,67,1,0,0,3,1,0,1,67,27,1,0,0
CH,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,4,33,14,1,0,1,0,0,0,3,1
D,1,0,19,0,2,0,2,40,1,343,279,2,5,1,10,35,5,15,16,23,53,54,43,51,7,0,1,37,19,5,0,169,26,0,12,124,7,21,23,1
DH,0,1,5,0,0,0,0,19,0,47,291,0,0,1,4,10,5,4,2,1,1,23,6,9,2,0,1,4,4,0,1,10,8,1,8,29,1,11,4,0
EH,7,120,34,1,2,0,16,0,0,2,2,374,51,64,0,0,4,106,30,0,0,4,0,1,0,0,2,0,10,0,0,1,0,24,2,0,0,6,0,0
ER,10,0,26,6,1,1,3,0,0,0,1,11,352,1,1,1,0,2,0,0,2,9,1,0,1,3,1,0,45,0,0,1,0,18,9,8,2,0,0,0
EY,0,4,1,0,0,0,4,0,0,0,0,42,9,314,0,0,0,48,86,0,0,6,0,2,2,0,0,0,0,0,0,0,0,1,5,0,0,4,0,0
F,0,0,0,0,0,0,0,5,0,4,1,0,0,0,573,0,6,0,0,0,4,1,0,0,1,0,0,10,0,20,6,8,25,0,0,30,1,0,5,0
G,0,0,1,0,0,0,0,10,0,19,18,0,0,0,1,95,6,1,0,2,36,3,6,7,3,0,0,9,1,0,0,15,4,0,2,15,6,6,0,1
HH,1,2,2,0,0,0,0,2,2,7,24,2,0,2,29,6,547,7,1,2,14,9,1,5,1,1,0,6,2,12,52,3,5,0,2,22,6,22,1,0
IH,1,7,37,0,0,0,3,0,0,11,8,81,32,66,1,0,8,788,400,4,5,29,2,28,10,0,2,2,15,2,0,1,0,49,52,3,5,49,2,0
IY,0,0,5,1,0,0,0,0,0,2,0,18,11,61,0,0,6,200,954,1,2,15,0,16,17,0,0,1,0,0,0,1,0,4,19,0,2,69,4,1
JH,0,0,0,0,0,0,0,0,22,3,4,0,0,0,0,1,0,0,0,53,3,0,0,0,0,0,0,1,0,1,5,8,0,0,0,0,0,0,7,2
K,0,0,4,0,0,0,0,5,16,9,1,0,0,1,19,17,20,0,0,0,429,2,1,0,0,0,0,90,1,3,0,90,25,0,0,18,1,0,3,0
L,5,2,7,13,11,0,5,5,0,11,35,6,25,4,1,3,13,11,18,0,0,482,56,53,13,38,1,0,67,0,0,1,1,18,30,43,20,29,5,2
M,0,0,1,0,1,1,0,10,0,4,10,0,3,0,0,13,10,0,1,0,0,29,613,76,47,1,1,1,7,0,0,0,0,0,5,33,11,1,0,0
N,0,5,12,4,3,0,6,0,0,42,26,6,15,5,0,13,2,17,8,0,2,61,303,870,258,1,2,2,12,0,0,2,1,1,13,45,1,13,10,0
NG,0,0,0,0,0,0,0,0,0,5,3,0,4,2,0,1,1,3,8,0,0,4,39,49,233,1,0,1,0,0,0,0,0,1,7,2,0,1,2,0
OW,30,1,21,42,29,0,0,0,0,0,0,2,18,2,0,0,0,0,0,0,0,23,0,1,1,203,2,0,2,0,0,0,0,30,18,1,7,0,0,0
OY,1,0,0,2,0,0,8,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,33,0,1,0,0,0,0,1,0,0,0,0,0,0
P,0,0,0,0,0,0,0,68,2,6,5,0,0,0,34,3,8,1,0,1,35,2,2,0,0,1,0,310,1,0,2,20,6,0,0,48,4,0,0,0
R,9,3,6,15,10,1,9,6,0,0,7,3,149,5,0,1,4,11,4,0,1,35,17,7,0,6,9,1,487,0,0,2,1,22,17,19,34,9,0,0
S,0,0,0,0,0,0,0,0,9,2,0,0,0,0,47,0,1,0,1,4,2,2,0,0,0,0,0,0,0,1321,39,11,28,0,0,0,0,1,173,0
SH,0,0,0,0,0,0,0,0,18,0,0,0,0,1,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,7,318,0,0,0,0,0,0,0,0,0
T,0,2,4,0,2,0,3,13,66,100,47,1,4,1,51,27,24,3,3,15,201,17,2,3,2,1,0,101,13,33,3,601,101,0,2,62,1,2,16,1
TH,0,0,0,0,0,0,0,4,0,4,4,0,0,0,27,0,2,0,0,0,6,0,0,0,0,0,0,1,0,19,0,17,46,0,0,4,0,0,5,0
UH,3,0,8,14,0,1,0,0,0,0,0,2,7,0,0,0,0,7,2,0,0,2,1,1,0,14,2,0,3,1,0,0,0,99,29,1,0,1,0,0
UW,3,0,12,4,1,0,0,0,1,0,2,2,14,0,2,0,0,14,26,0,1,11,4,1,5,26,1,0,16,0,0,0,0,97,268,1,16,5,0,0
V,0,0,0,2,1,0,0,30,0,12,8,0,3,0,78,5,0,0,3,0,11,10,10,3,3,3,0,20,6,1,0,2,14,0,7,264,14,0,4,0
W,0,0,3,8,2,1,1,33,0,2,6,0,1,0,0,6,4,2,2,0,0,36,24,4,1,18,0,0,27,1,0,0,0,7,28,22,590,4,1,0
Y,0,0,2,0,0,0,0,0,0,1,4,0,0,2,1,0,8,8,18,5,0,6,2,2,4,0,0,0,2,0,0,1,0,0,2,0,1,168,1,1
Z,0,0,1,0,0,0,0,1,3,2,4,0,1,0,0,0,0,3,2,8,1,0,0,0,1,0,0,0,1,200,2,0,3,0,2,5,0,3,302,1
ZH,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,12,19
