epoch,train_loss,validation_loss,per,exact_sequence_accuracy,binary_macro_f1,balanced_accuracy,deletion_precision,deletion_recall,deletion_f1,substitution_false_deletion,three_relation_macro_f1,decoded_target_ratio,blank_argmax_occupancy,epoch_seconds
1,3.8713157000272753,3.238707999758592,0.8718089918577666,0.032349896480331264,0.3222725940187969,0.4246496758435886,0.025708680062242067,0.41575492341356673,0.048423064670277155,0.5315315315315315,0.1562242412473107,0.4548243716319868,0.8928080409009388,27.848746100000426
2,3.033796261330432,2.8637441749651735,0.812807300475947,0.0542184265010352,0.35461657100333893,0.46082431861223205,0.02946746458601621,0.42560175054704596,0.055118668083599005,0.47822822822822825,0.19681219377387063,0.5176021712622428,0.8775116767094125,26.627442999997584
3,2.7677625581577217,2.671854349643794,0.7716241198914369,0.061853002070393376,0.3943315521237151,0.5163108475922189,0.03725716313315001,0.45951859956236324,0.06892590465249857,0.41178678678678676,0.22383158935589811,0.5988278330645479,0.8584182765681921,26.289113999999245
4,2.5896052290383094,2.498829771457992,0.7289855642528419,0.08876811594202899,0.4118788133645012,0.53405796246976,0.040531368176088434,0.4573304157549234,0.07446334728778836,0.368993993993994,0.24700639682500017,0.635959564174173,0.8502580397694871,26.369638100000884
5,2.4455739478430294,2.358276274633704,0.6987766982653503,0.0986024844720497,0.44399324626649883,0.5731164151140385,0.049629801018047204,0.46936542669584247,0.08976773383553044,0.3078078078078078,0.26825210911556524,0.7071549384415686,0.8360651406820084,27.093448499999795
6,2.3209973991822697,2.2806452351697484,0.6722652716044527,0.10947204968944099,0.4636232793444297,0.5726098870997687,0.05242772167658044,0.41466083150984684,0.09308608620901387,0.2545045045045045,0.28263481884762237,0.7678480116430004,0.8231483766419608,28.90154779999648
7,2.212391691370947,2.165012575207783,0.6457145104826338,0.1229296066252588,0.4700513319565489,0.589220089735935,0.056953080836630865,0.44091903719912473,0.10087609511889863,0.25375375375375375,0.2958015266626008,0.7694607245407702,0.8260485632750003,29.28575880000062
8,2.1253028310117292,2.1164937970184146,0.6362742398615427,0.1260351966873706,0.4716473338916298,0.5937574316955365,0.05818078615013481,0.4485776805251641,0.10300213541012436,0.256006006006006,0.299320539705579,0.7694607245407702,0.8260416630578399,29.27992710000035
9,2.044474966316779,2.0600302382902576,0.6155449789560634,0.14078674948240166,0.48949374398132095,0.6010858850309654,0.06466241182398387,0.4212253829321663,0.11211415259172976,0.20645645645645647,0.317050016458507,0.8215002163395351,0.8133911304291546,29.430991399996856
10,1.969219331555396,2.012791547345819,0.6129095700743421,0.14906832298136646,0.48191123929048085,0.5982138023332307,0.061711079943899017,0.43326039387308535,0.108034374573728,0.2256006006006006,0.3151407608261389,0.8009282932777406,0.8177612666117787,28.915403899998637
11,1.8973189714290872,1.9098907535737593,0.5911969476458325,0.16097308488612835,0.48732026427630504,0.6187495110089581,0.06724646684267743,0.4737417943107221,0.1177750577995376,0.24324324324324326,0.32324121303212755,0.7942021004602132,0.8226550138954606,29.869298500001605
